ID,信贷额度百分比,信贷利率,信贷额度（万元）,,,,,,
E196,0.005127317,0.082,51.2731682,,,,,,
E197,0.006720942,0.0745,67.20942318,,,,,,
E198,0.003914776,0.082,39.1477568,,,,,,
E199,0.006201282,0.0835,62.01281829,,,,,,
E200,0.004018708,0.082,40.18707778,,,,,,
E201,0.0046423,0.0775,46.42300364,,,,,,
E202,0.006028062,0.079,60.28061666,,,,,,
E203,0.005058029,0.076,50.58028755,,,,,,
E204,0.005439113,0.0775,54.39113113,,,,,,
E205,0.005646977,0.076,56.46977308,,,,,,
E206,0.005820197,0.079,58.20197471,,,,,,
E207,0.005820197,0.0805,58.20197471,,,,,,
E208,0,0,0,,,,,,
E209,0.005646977,0.073,56.46977308,,,,,,
E210,0.005716265,0.0835,57.16265373,,,,,,
E211,0.004954097,0.0775,49.54096657,,,,,,
E212,0.005646977,0.076,56.46977308,,,,,,
E213,0.004746232,0.0775,47.46232461,,,,,,
E214,0.004954097,0.0775,49.54096657,,,,,,
E215,0.005820197,0.082,58.20197471,,,,,,
E216,0.005646977,0.0745,56.46977308,,,,,,
E217,0,0,0,,,,,,
E218,0.005231249,0.079,52.31248917,,,,,,
E219,0.004018708,0.082,40.18707778,,,,,,
E220,0.005231249,0.0805,52.31248917,,,,,,
E221,0.004434436,0.0835,44.34436168,,,,,,
E222,0.0046423,0.0775,46.42300364,,,,,,
E223,0.00429586,0.0835,42.95860038,,,,,,
E224,0,0,0,,,,,,
E225,0.005058029,0.0745,50.58028755,,,,,,
E226,0.004434436,0.0805,44.34436168,,,,,,
E227,0.004434436,0.079,44.34436168,,,,,,
E228,0.005265893,0.073,52.6589295,,,,,,
E229,0,0,0,,,,,,
E230,0.004954097,0.079,49.54096657,,,,,,
E231,0.003914776,0.0835,39.1477568,,,,,,
E232,0.006201282,0.0835,62.01281829,,,,,,
E233,0.005127317,0.0835,51.2731682,,,,,,
E234,0.005161961,0.076,51.61960852,,,,,,
E235,0.004261216,0.0805,42.61216006,,,,,,
E236,0.004850165,0.0805,48.50164559,,,,,,
E237,0.0046423,0.0805,46.42300364,,,,,,
E238,0.004954097,0.079,49.54096657,,,,,,
E239,0,0,0,,,,,,
E240,0,0,0,,,,,,
E241,0.004573012,0.076,45.73012299,,,,,,
E242,0,0,0,,,,,,
E243,0.004676944,0.0745,46.76944396,,,,,,
E244,0.004573012,0.076,45.73012299,,,,,,
E245,0.004573012,0.0775,45.73012299,,,,,,
E246,0.004780876,0.073,47.80876494,,,,,,
E247,0.004087996,0.073,40.87995843,,,,,,
E248,0.003880132,0.076,38.80131647,,,,,,
E249,0.006513078,0.079,65.13078122,,,,,,
E250,0.00446908,0.0775,44.69080201,,,,,,
E251,0,0,0,,,,,,
E252,0.00394942,0.082,39.49419712,,,,,,
E253,0.004053352,0.079,40.5335181,,,,,,
E254,0.004676944,0.0745,46.76944396,,,,,,
E255,0.004676944,0.0745,46.76944396,,,,,,
E256,0.004573012,0.0745,45.73012299,,,,,,
E257,0.004365148,0.076,43.65148103,,,,,,
E258,0.005369825,0.073,53.69825048,,,,,,
E259,0.004676944,0.073,46.76944396,,,,,,
E260,0.003672267,0.076,36.72267452,,,,,,
E261,0.004087996,0.073,40.87995843,,,,,,
E262,0.00394942,0.082,39.49419712,,,,,,
E263,0.00446908,0.076,44.69080201,,,,,,
E264,0,0,0,,,,,,
E265,0.003637623,0.0835,36.37623419,,,,,,
E266,0.004676944,0.0745,46.76944396,,,,,,
E267,0.004850165,0.0805,48.50164559,,,,,,
E268,0.004746232,0.0805,47.46232461,,,,,,
E269,0.004573012,0.0775,45.73012299,,,,,,
E270,0.003880132,0.0775,38.80131647,,,,,,
E271,0.003637623,0.0805,36.37623419,,,,,,
E272,0.003602979,0.073,36.02979387,,,,,,
E273,0.004573012,0.0745,45.73012299,,,,,,
E274,0,0,0,,,,,,
E275,0.003672267,0.0805,36.72267452,,,,,,
E276,0.004191928,0.073,41.9192794,,,,,,
E277,0,0,0,,,,,,
E278,0.002979387,0.0775,29.79386801,,,,,,
E279,0.004053352,0.0805,40.5335181,,,,,,
E280,0.003360471,0.0805,33.60471159,,,,,,
E281,0,0,0,,,,,,
E282,0.003880132,0.076,38.80131647,,,,,,
E283,0.003672267,0.076,36.72267452,,,,,,
E284,0.003880132,0.0745,38.80131647,,,,,,
E285,0.004157284,0.0805,41.57283908,,,,,,
E286,0.003152607,0.0805,31.52606963,,,,,,
E287,0.003360471,0.0775,33.60471159,,,,,,
E288,0.003048675,0.082,30.48674866,,,,,,
E289,0.003984064,0.076,39.84063745,,,,,,
E290,0.004087996,0.073,40.87995843,,,,,,
E291,0,0,0,,,,,,
E292,0.003395115,0.0745,33.95115191,,,,,,
E293,0,0,0,,,,,,
E294,0.004676944,0.073,46.76944396,,,,,,
E295,0.003464403,0.079,34.64403257,,,,,,
E296,0.004573012,0.0745,45.73012299,,,,,,
E297,0,0,0,,,,,,
E298,0.003984064,0.076,39.84063745,,,,,,
E299,0,0,0,,,,,,
E300,0.004157284,0.079,41.57283908,,,,,,
E301,0.004191928,0.073,41.9192794,,,,,,
E302,0.003602979,0.073,36.02979387,,,,,,
E303,0.004191928,0.073,41.9192794,,,,,,
E304,0.002355794,0.0835,23.55794214,,,,,,
E305,0.005335181,0.079,53.35181015,,,,,,
E306,0.003602979,0.073,36.02979387,,,,,,
E307,0.003984064,0.0745,39.84063745,,,,,,
E308,0.002979387,0.0805,29.79386801,,,,,,
E309,0.003568335,0.0805,35.68335354,,,,,,
E310,0.003602979,0.073,36.02979387,,,,,,
E311,0.0037762,0.079,37.7619955,,,,,,
E312,0,0,0,,,,,,
E313,0.003291183,0.076,32.91183094,,,,,,
E314,0.002910099,0.0745,29.10098735,,,,,,
E315,0.003602979,0.073,36.02979387,,,,,,
E316,0.003602979,0.073,36.02979387,,,,,,
E317,0.003117963,0.073,31.17962931,,,,,,
E318,0.003291183,0.0775,32.91183094,,,,,,
E319,0.002875455,0.0805,28.75454703,,,,,,
E320,0,0,0,,,,,,
E321,0.003395115,0.0745,33.95115191,,,,,,
E322,0.002563658,0.0835,25.6365841,,,,,,
E323,0.003083319,0.079,30.83318898,,,,,,
E324,0,0,0,,,,,,
E325,0,0,0,,,,,,
E326,0.002771523,0.0805,27.71522605,,,,,,
E327,0.003360471,0.0805,33.60471159,,,,,,
E328,0.003602979,0.073,36.02979387,,,,,,
E329,0.004053352,0.0835,40.5335181,,,,,,
E330,0.003014031,0.073,30.14030833,,,,,,
E331,0.003499047,0.0745,34.99047289,,,,,,
E332,0.004538368,0.082,45.38368266,,,,,,
E333,0.002910099,0.076,29.10098735,,,,,,
E334,0.002979387,0.079,29.79386801,,,,,,
E335,0.003187251,0.079,31.87250996,,,,,,
E336,0,0,0,,,,,,
E337,0.003602979,0.0745,36.02979387,,,,,,
E338,0.003117963,0.073,31.17962931,,,,,,
E339,0.002390438,0.079,23.90438247,,,,,,
E340,0.002390438,0.082,23.90438247,,,,,,
E341,0.002806167,0.076,28.06166638,,,,,,
E342,0.003014031,0.073,30.14030833,,,,,,
E343,0.00180149,0.0835,18.01489693,,,,,,
E344,0,0,0,,,,,,
E345,0.002910099,0.073,29.10098735,,,,,,
E346,0.001489693,0.0835,14.896934,,,,,,
E347,0.002113286,0.076,21.13285986,,,,,,
E348,0.002113286,0.0775,21.13285986,,,,,,
E349,0,0,0,,,,,,
E350,0.00232115,0.0745,23.21150182,,,,,,
E351,0.00180149,0.0805,18.01489693,,,,,,
E352,0,0,0,,,,,,
E353,0.002702235,0.0775,27.0223454,,,,,,
E354,0.002390438,0.079,23.90438247,,,,,,
E355,0,0,0,,,,,,
E356,0.001593625,0.0835,15.93625498,,,,,,
E357,0,0,0,,,,,,
E358,0,0,0,,,,,,
E359,0.001593625,0.0835,15.93625498,,,,,,
E360,0,0,0,,,,,,
E361,0.002078642,0.0835,20.78641954,,,,,,
E362,0.003187251,0.079,31.87250996,,,,,,
E363,0.002702235,0.0775,27.0223454,,,,,,
E364,0.002425082,0.073,24.2508228,,,,,,
E365,0.002702235,0.076,27.0223454,,,,,,
E366,0.002182574,0.0835,21.82574052,,,,,,
E367,0.002286506,0.082,22.86506149,,,,,,
E368,0.001697558,0.0835,16.97557596,,,,,,
E369,0.002113286,0.076,21.13285986,,,,,,
E370,0.002390438,0.082,23.90438247,,,,,,
E371,0.002009354,0.0805,20.09353889,,,,,,
E372,0.00232115,0.0745,23.21150182,,,,,,
E373,0,0,0,,,,,,
E374,0.001905422,0.082,19.05421791,,,,,,
E375,0.001212541,0.0835,12.1254114,,,,,,
E376,0,0,0,,,,,,
E377,0.00162827,0.076,16.28269531,,,,,,
E378,0.001004677,0.0835,10.04676944,,,,,,
E379,0.002702235,0.0745,27.0223454,,,,,,
E380,0,0,0,,,,,,
E381,0,0,0,,,,,,
E382,0,0,0,,,,,,
E383,0,0,0,,,,,,
E384,0.002875455,0.0835,28.75454703,,,,,,
E385,0,0,0,,,,,,
E386,0.003083319,0.082,30.83318898,,,,,,
E387,0,0,0,,,,,,
E388,0.00162827,0.076,16.28269531,,,,,,
E389,0.001697558,0.0835,16.97557596,,,,,,
E390,0,0,0,,,,,,
E391,0.001212541,0.0835,12.1254114,,,,,,
E392,0.001316473,0.0805,13.16473237,,,,,,
E393,0,0,0,,,,,,
E394,0.002286506,0.0835,22.86506149,,,,,,
E395,0.00232115,0.0745,23.21150182,,,,,,
E396,0.001593625,0.0835,15.93625498,,,,,,
E397,0,0,0,,,,,,
E398,0.001420405,0.079,14.20405335,,,,,,
E399,0.00180149,0.082,18.01489693,,,,,,
E400,0.001108609,0.0835,11.08609042,,,,,,
E401,0.001316473,0.0805,13.16473237,,,,,,
E402,0,0,0,,,,,,
E403,0.001732202,0.076,17.32201628,,,,,,
E404,0,0,0,,,,,,
E405,0,0,0,,,,,,
E406,0,0,0,,,,,,
E407,0.002702235,0.0775,27.0223454,,,,,,
E408,0.001316473,0.082,13.16473237,,,,,,
E409,0.001524337,0.076,15.24337433,,,,,,
E410,0.001524337,0.0775,15.24337433,,,,,,
E411,0,0,0,,,,,,
E412,0.001420405,0.079,14.20405335,,,,,,
E413,0.00162827,0.0775,16.28269531,,,,,,
E414,0,0,0,,,,,,
E415,0,0,0,,,,,,
E416,0,0,0,,,,,,
E417,0.001316473,0.0805,13.16473237,,,,,,
E418,0.00180149,0.0805,18.01489693,,,,,,
E419,0,0,0,,,,,,
E420,0,0,0,,,,,,
E421,0.001905422,0.082,19.05421791,,,,,,
E422,0,0,0,,,,,,
E423,0,0,0,,,,,,
E424,0,0,0,,,,,,
E425,0.001316473,0.0805,13.16473237,,,,,,
